Date,time,Station,K_490,Max_Depth,R_sq,Secchi Depth (m),Count,Light Attenuation Coefficient (m-1),Count,Turbidity (NTU),Count,Chlorophyll-a (Âµg/l),Count,Total Suspended Solids (mg/L),Count,Particulate Organic Carbon (mg/L),Count,Total Suspended Solids (mg/L),Count
12-Feb-2022,12:00:00,6147030,0.0718,17.4755,0.9094,NaN,NaN,NaN,NaN,0.1180,763.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
05-Apr-2022,12:00:00,6147031,0.2176,17.4470,0.9991,4.8000,1.0000,0.1419,1.0000,13.6044,932.0000,2.8000,1.0000,NaN,NaN,NaN,NaN,NaN,NaN,
16-Apr-2022,12:00:00,6147031,0.2138,17.4570,0.9946,NaN,NaN,NaN,NaN,40.9834,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
15-Apr-2022,12:00:00,6147031,0.1879,17.4590,0.9922,NaN,NaN,NaN,NaN,32.4255,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
13-Apr-2022,12:00:00,6147031,0.1870,17.4450,0.9919,NaN,NaN,NaN,NaN,23.4970,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
02-Apr-2022,12:00:00,6147031,0.1361,17.4335,0.9917,NaN,NaN,NaN,NaN,8.3618,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
04-Mar-2022,12:00:00,6147031,0.2441,17.4380,0.9900,NaN,NaN,NaN,NaN,10.6975,767.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
20-Apr-2022,12:00:00,6147031,0.2943,17.4670,0.9890,NaN,NaN,NaN,NaN,46.1574,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
26-Feb-2022,12:00:00,6147031,0.1585,17.4485,0.9883,NaN,NaN,NaN,NaN,3.7943,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Feb-2022,12:00:00,6147031,0.1476,17.4490,0.9881,NaN,NaN,NaN,NaN,3.3264,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11-Apr-2022,12:00:00,6147031,0.2439,17.4825,0.9879,NaN,NaN,NaN,NaN,34.8726,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
18-Mar-2022,12:00:00,6147031,0.0925,17.4520,0.9874,NaN,NaN,NaN,NaN,3.7977,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
24-Feb-2022,12:00:00,6147031,0.1281,17.4485,0.9873,NaN,NaN,NaN,NaN,4.0569,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
21-Apr-2022,12:00:00,6147031,0.2694,17.4525,0.9857,NaN,NaN,NaN,NaN,46.0797,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Mar-2022,12:00:00,6147031,0.2293,17.4550,0.9836,NaN,NaN,NaN,NaN,6.7961,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
03-Apr-2022,12:00:00,6147031,0.1044,17.4490,0.9831,NaN,NaN,NaN,NaN,18.3450,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19-Mar-2022,12:00:00,6147031,0.1281,17.4540,0.9825,NaN,NaN,NaN,NaN,3.8112,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19-Feb-2022,12:00:00,6147031,0.1102,17.4560,0.9805,NaN,NaN,NaN,NaN,1.8435,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
19-Apr-2022,12:00:00,6147031,0.2509,17.4605,0.9746,NaN,NaN,NaN,NaN,47.0093,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11-Mar-2022,12:00:00,6147031,0.1663,17.4365,0.9722,NaN,NaN,NaN,NaN,5.5886,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
23-Mar-2022,12:00:00,6147031,0.2115,17.4390,0.9717,NaN,NaN,NaN,NaN,9.2649,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
06-Feb-2022,12:00:00,6147031,0.2272,17.4360,0.9705,NaN,NaN,NaN,NaN,1.5927,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Apr-2022,12:00:00,6147031,0.2948,17.4425,0.9704,NaN,NaN,NaN,NaN,46.5742,769.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
05-Mar-2022,12:00:00,6147031,0.1685,17.4745,0.9698,NaN,NaN,NaN,NaN,12.2300,767.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
31-Mar-2022,12:00:00,6147031,0.1485,17.4725,0.9673,NaN,NaN,NaN,NaN,5.2933,769.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
03-Mar-2022,12:00:00,6147031,0.1870,17.4510,0.9669,NaN,NaN,NaN,NaN,6.0911,767.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
24-Mar-2022,12:00:00,6147031,0.1914,17.4695,0.9666,NaN,NaN,NaN,NaN,9.6503,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
06-Apr-2022,12:00:00,6147031,0.2316,17.4490,0.9655,4.8000,1.0000,0.1419,1.0000,15.2286,932.0000,2.8000,1.0000,NaN,NaN,NaN,NaN,NaN,NaN,
27-Feb-2022,12:00:00,6147031,0.1584,17.4550,0.9649,NaN,NaN,NaN,NaN,5.2760,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
16-Jan-2022,12:00:00,6147031,0.1657,17.4560,0.9623,NaN,NaN,NaN,NaN,16.1974,764.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
07-Apr-2022,12:00:00,6147031,0.1843,17.4365,0.9605,NaN,NaN,NaN,NaN,17.7069,765.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
07-Feb-2022,12:00:00,6147031,0.1665,17.4260,0.9577,NaN,NaN,NaN,NaN,1.7829,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
25-Mar-2022,12:00:00,6147031,0.2186,17.4360,0.9574,NaN,NaN,NaN,NaN,9.1447,750.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
17-Jan-2022,12:00:00,6147031,0.1553,17.4415,0.9556,NaN,NaN,NaN,NaN,15.9244,764.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
01-Mar-2022,12:00:00,6147031,0.1445,17.4835,0.9511,NaN,NaN,NaN,NaN,7.7116,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
02-Feb-2022,12:00:00,6147031,0.1335,17.4350,0.9498,8.0000,1.0000,0.0259,1.0000,13.0955,749.0000,1.0000,1.0000,NaN,NaN,NaN,NaN,NaN,NaN,
14-Feb-2022,12:00:00,6147031,0.1241,17.4660,0.9498,NaN,NaN,NaN,NaN,1.7971,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
04-Apr-2022,12:00:00,6147031,0.1697,17.4440,0.9476,NaN,NaN,NaN,NaN,20.2281,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
17-Feb-2022,12:00:00,6147031,0.1242,17.4510,0.9476,NaN,NaN,NaN,NaN,1.9196,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
18-Feb-2022,12:00:00,6147031,0.1142,17.4540,0.9438,NaN,NaN,NaN,NaN,1.8856,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
07-Mar-2022,12:00:00,6147031,0.1460,17.4840,0.9431,7.5000,1.0000,0.1004,1.0000,3.4325,1100.0000,0.9000,1.0000,NaN,NaN,NaN,NaN,NaN,NaN,
01-Apr-2022,12:00:00,6147031,0.2487,17.4495,0.9420,NaN,NaN,NaN,NaN,5.9070,769.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
12-Apr-2022,12:00:00,6147031,0.2066,17.4595,0.9407,NaN,NaN,NaN,NaN,25.0590,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
10-Mar-2022,12:00:00,6147031,0.1566,17.4710,0.9362,NaN,NaN,NaN,NaN,8.4662,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
28-Mar-2022,12:00:00,6147031,0.3390,17.4415,0.9336,NaN,NaN,NaN,NaN,7.4501,416.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
06-Mar-2022,12:00:00,6147031,0.1772,17.4495,0.9317,7.5000,1.0000,0.1004,1.0000,4.8663,1099.0000,0.9000,1.0000,NaN,NaN,NaN,NaN,NaN,NaN,
29-Mar-2022,12:00:00,6147031,0.1160,17.4340,0.9250,NaN,NaN,NaN,NaN,6.6649,769.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
23-Feb-2022,12:00:00,6147031,0.1265,17.4535,0.9240,NaN,NaN,NaN,NaN,4.5415,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
16-Feb-2022,12:00:00,6147031,0.1042,17.4595,0.9039,NaN,NaN,NaN,NaN,1.9165,768.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
15-Jan-2022,12:00:00,6147034,0.2422,13.4775,0.9970,NaN,NaN,NaN,NaN,41.5161,599.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
04-Apr-2022,12:00:00,6147034,0.1028,14.4670,0.9928,NaN,NaN,NaN,NaN,37.1861,621.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
14-Jan-2022,12:00:00,6147034,0.2371,13.4750,0.9901,NaN,NaN,NaN,NaN,39.5709,601.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
08-Feb-2022,12:00:00,6147034,0.1452,14.4530,0.9857,NaN,NaN,NaN,NaN,1.3707,593.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
31-Mar-2022,12:00:00,6147034,0.1633,14.4525,0.9845,NaN,NaN,NaN,NaN,2.5204,623.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
29-Mar-2022,12:00:00,6147034,0.1196,14.4800,0.9831,NaN,NaN,NaN,NaN,3.0773,618.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
03-Apr-2022,12:00:00,6147034,0.0883,14.4750,0.9830,NaN,NaN,NaN,NaN,25.5830,624.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
02-Apr-2022,12:00:00,6147034,0.1518,14.4720,0.9828,NaN,NaN,NaN,NaN,3.7183,624.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
18-Mar-2022,12:00:00,6147034,0.0980,14.4680,0.9798,NaN,NaN,NaN,NaN,3.6251,616.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
09-Mar-2022,12:00:00,6147034,0.2336,14.4690,0.9790,NaN,NaN,NaN,NaN,16.3246,610.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
24-Apr-2022,12:00:00,6147034,0.3005,14.5130,0.9775,NaN,NaN,NaN,NaN,27.3085,621.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
13-Feb-2022,12:00:00,6147034,0.1856,14.4720,0.9774,NaN,NaN,NaN,NaN,0.9891,606.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
15-Feb-2022,12:00:00,6147034,0.1400,14.4625,0.9764,NaN,NaN,NaN,NaN,2.5960,612.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
10-Feb-2022,12:00:00,6147034,0.1403,14.4655,0.9754,NaN,NaN,NaN,NaN,1.1964,600.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
07-Apr-2022,12:00:00,6147034,0.2365,14.4395,0.9754,NaN,NaN,NaN,NaN,3.3536,622.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
23-Mar-2022,12:00:00,6147034,0.2077,14.4635,0.9720,NaN,NaN,NaN,NaN,7.5908,598.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
06-Apr-2022,12:00:00,6147034,0.2713,14.4640,0.9709,6.9000,1.0000,0.1074,1.0000,3.1814,709.0000,1.8000,1.0000,1.8000,2.0000,0.2000,1.0000,1.8000,2.0000,
25-Apr-2022,12:00:00,6147034,0.2453,14.4610,0.9705,NaN,NaN,NaN,NaN,37.4230,624.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
02-Mar-2022,12:00:00,6147034,0.4211,13.4260,0.9696,NaN,NaN,NaN,NaN,4.8192,599.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
12-Feb-2022,12:00:00,6147034,0.1402,13.4485,0.9653,NaN,NaN,NaN,NaN,0.6800,605.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
08-Jan-2022,12:00:00,6147034,0.1219,13.4650,0.9584,NaN,NaN,NaN,NaN,19.0163,606.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
17-Jan-2022,12:00:00,6147034,0.1474,13.4315,0.9546,NaN,NaN,NaN,NaN,38.1750,595.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
29-Apr-2022,12:00:00,6147034,0.2734,14.4730,0.9515,NaN,NaN,NaN,NaN,29.7593,609.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
13-Mar-2022,12:00:00,6147034,0.1681,14.4700,0.9446,NaN,NaN,NaN,NaN,10.8782,619.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
18-Jan-2022,12:00:00,6147034,0.1447,13.5000,0.9437,NaN,NaN,NaN,NaN,24.0385,596.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Feb-2022,12:00:00,6147034,0.1794,14.4330,0.9437,NaN,NaN,NaN,NaN,4.8416,618.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
22-Mar-2022,12:00:00,6147034,0.2511,14.4575,0.9410,NaN,NaN,NaN,NaN,5.4984,595.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
16-Mar-2022,12:00:00,6147034,0.1612,14.4635,0.9406,NaN,NaN,NaN,NaN,4.3455,614.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
15-Apr-2022,12:00:00,6147034,0.2815,14.4700,0.9374,NaN,NaN,NaN,NaN,5.9488,611.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
27-Feb-2022,12:00:00,6147034,0.2376,14.4405,0.9363,NaN,NaN,NaN,NaN,5.9349,603.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
01-Mar-2022,12:00:00,6147034,0.2461,14.4235,0.9359,NaN,NaN,NaN,NaN,5.7200,606.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
28-Apr-2022,12:00:00,6147034,0.2994,14.4640,0.9344,NaN,NaN,NaN,NaN,40.9359,624.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
26-Apr-2022,12:00:00,6147034,0.1587,14.4530,0.9301,NaN,NaN,NaN,NaN,43.4770,624.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
01-Jan-2022,12:00:00,6147034,0.1233,14.4910,0.9292,NaN,NaN,NaN,NaN,34.9146,494.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
11-Feb-2022,12:00:00,6147034,0.1410,14.4485,0.9284,NaN,NaN,NaN,NaN,1.0650,604.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,
