Site,Name,Lat,Lon,Start,End,Years,%,Obs,AWS,layer,path
9186,BEENYUP,-31.7858,115.7772,Apr-79,May-92,7.2,53,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9161,BENTLEY (CURTIN),-32.0022,115.8861,Aug-71,Feb-87,15.6,75,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9240,BICKLEY,-32.0072,116.1369,Jan-94,Apr-22,28.3,97,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9192,FREMANTLE,-32.0533,115.7647,Mar-83,May-99,9.3,38,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9017,FREMANTLE,-32.055,115.75,Jan-65,Jun-78,13.2,96,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9197,GARDEN ISLAND,-32.23,115.6844,Jan-84,Mar-93,7.4,37,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9256,GARDEN ISLAND HSF,-32.2433,115.6839,Nov-01,Apr-22,20.5,99,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9178,GINGIN AERO,-31.4628,115.8642,May-96,Apr-22,26,95,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9106,GOSNELLS CITY,-32.0481,115.9844,Jul-91,Apr-22,30.3,88,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9265,HILLARYS BOAT HARBOUR NTC AWS,-31.8256,115.7386,May-13,Apr-22,9,95,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9172,JANDAKOT AERO,-32.1011,115.8794,Feb-89,Apr-22,31.9,95,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9058,KALAMUNDA,-31.9822,116.0594,Feb-91,Dec-93,2.3,78,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9111,KARNET,-32.4389,116.0789,Jan-65,Apr-22,57.1,95,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9064,KWINANA BP REFINERY,-32.2258,115.7611,Apr-55,Oct-12,55.8,90,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9194,MEDINA RESEARCH CENTRE,-32.2208,115.8075,Apr-83,Jan-18,34.8,98,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9281,MILLENDON (SWAN VALLEY),-31.8112,116.0227,May-17,Apr-22,5,98,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9035,NEDLANDS UWA,-31.9861,115.8192,Jan-65,Mar-74,7.6,61,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9053,PEARCE RAAF,-31.6669,116.0189,Dec-40,Apr-22,61.1,66,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9021,PERTH AIRPORT,-31.9275,115.9764,Jun-44,Apr-22,77.9,100,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9250,PERTH AIRPORT COMPARISON,-31.9356,115.9639,Nov-97,Jan-01,3.3,85,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9225,PERTH METRO,-31.9192,115.8728,Nov-93,Apr-22,28.5,99,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9034,PERTH REGIONAL OFFICE,-31.9556,115.8697,Jan 1897,Apr-92,95.3,100,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9159,PERTH WEST,-31.95,115.85,Apr-71,Dec-73,2.8,95,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9160,POINT PERON,-32.2667,115.7,Aug-71,Oct-74,3.3,68,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9193,ROTTNEST ISLAND,-32.0069,115.5022,Jul-83,Apr-22,33.3,84,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9038,ROTTNEST ISLAND LIGHTHOUSE,-32.0089,115.5022,Jan-65,Dec-95,31,99,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9109,STONEVILLE RESEARCH STN,-31.8531,116.1783,Oct-89,Dec-96,7.3,65,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9151,SUBIACO TREATMENT PLANT,-31.9556,115.7928,May-86,Aug-00,12.8,78,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9215,SWANBOURNE,-31.956,115.7619,Sep-93,Apr-22,28.7,99,Y,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9067,UPPER SWAN RESEARCH STATION,-31.7564,116.0222,Jan-65,Apr-91,26.3,60,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9135,WALLISTON,-31.9942,116.0692,Jan-65,Dec-85,8.7,40,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9126,WEST PERTH,-31.9508,115.8453,Jun-67,Feb-71,3.8,99,N,,Extracted,"MultiPoint?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:string(254,0)&uid={5e3527da-cac7-4dc6-9939-83a4b22f343f}"
9254,ARMAMENT JETTY,-32.1758,115.6808,Mar-19,Dec-19,0.8,84,48.9,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9240,BICKLEY,-32.0072,116.1369,Oct-97,Apr-22,24,94,32,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9255,COLPOYS POINT,-32.2272,115.6994,Mar-19,Apr-22,3.2,96,49.8,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9256,GARDEN ISLAND HSF,-32.2433,115.6839,Nov-01,Apr-22,20.5,99,29.1,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9178,GINGIN AERO,-31.4628,115.8642,Mar-96,Apr-22,25.8,96,32,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9265,HILLARYS BOAT HARBOUR NTC AWS,-31.8256,115.7386,May-13,Apr-22,9,98,49,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9091,INNER DOLPHIN PYLON,-31.9889,115.8311,Aug-99,Apr-22,22.4,95,48.8,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9172,JANDAKOT AERO,-32.1011,115.8794,Dec-93,Apr-22,28.4,99,50,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9281,MILLENDON (SWAN VALLEY),-31.8112,116.0227,May-17,Apr-22,5,98,48.2,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9214,OCEAN REEF,-31.7594,115.7278,Oct-96,Apr-22,25.6,99,49.6,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9053,PEARCE RAAF,-31.6669,116.0189,Dec-93,Apr-22,28.2,96,31.6,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9021,PERTH AIRPORT,-31.9275,115.9764,Jan-85,Apr-22,37.3,99,50.4,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9225,PERTH METRO,-31.9192,115.8728,Dec-93,Apr-22,28.4,99,47.6,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9193,ROTTNEST ISLAND,-32.0069,115.5022,Dec-93,Apr-22,28.4,99,49.6,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
9215,SWANBOURNE,-31.956,115.7619,Dec-93,Apr-22,28.4,99,49.3,Y,Extracted1,"Point?crs=EPSG:4326&field=Site:long(10,0)&field=Name:string(254,0)&field=Lat:double(23,15)&field=Lon:double(23,15)&field=Start:string(254,0)&field=End:string(254,0)&field=Years:double(23,15)&field=%25:long(10,0)&field=Obs:double(23,15)&field=AWS:string(254,0)&uid={022cae8e-3dc3-4932-bf5d-967c57187e33}"
