Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS6A_Temperature_Bottom_2016_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.146479719
Long,115.756724048
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS6A
Site Description,Outside Northern Harbour, (replaced CS6)
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00007
Data Classification,WQ Grab
Sampling Rate (min),11424.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Temperature (^{\circ}C)
QC,String
