Agency Name,Cockburn Sound Management Council
Agency Code,CSMC
Program,Cockburn Sound Marine Water Quality Monitoring
Project,CSMWQ-MAFRL
Data File Name,mafrl_CS9A_Total_Phosphorus_Int_2018_DATA.csv
Location,data-warehouse/csv/csmc/csmwq-mafrl
Station Status,Inactive
Lat,-32.238933730
Long,115.751411901
Time Zone,GMT +8
Vertical Datum,mAHD
National Station ID,CS9A
Site Description,Kwinana Bulk Jetty (KBJ)
Bad or Unavailable Data Value,NaN
Contact Email,
Variable ID,var00010
Data Classification,WQ Grab
Sampling Rate (min),11040.0000
Date,dd-mm-yyyy HH:MM:SS
Depth,Decimal
Variable,Total Phosphorus (mg/L)
QC,String
